ListingID,Date,Price,Minimum_Nights,Maximum_Nights
592,2022-01-01,0,1,365
592,2022-01-02,0,1,365
592,2022-01-03,0,1,365
592,2022-01-04,0,1,365
592,2022-01-05,0,1,365
592,2022-01-06,0,1,365
592,2022-01-07,0,1,365
592,2022-01-08,0,1,365
592,2022-01-09,0,1,365
592,2022-01-10,0,1,365
592,2022-01-11,0,1,365
592,2022-01-12,0,1,365
592,2022-01-13,0,1,365
592,2022-01-14,0,1,365
592,2022-01-15,0,1,365
686,2022-01-01,0,30,180
1940,2022-01-03,0,1,1125
1940,2022-01-04,0,1,1125
1940,2022-01-05,0,1,1125
1940,2022-01-06,0,1,1125
1940,2022-01-07,0,1,1125
1940,2022-01-08,0,1,1125
1940,2022-01-09,0,1,1125
1940,2022-01-10,0,1,1125
1940,2022-01-11,0,1,1125
1940,2022-01-12,0,1,1125
1940,2022-01-13,0,1,1125
1940,2022-01-14,0,1,1125
1940,2022-01-15,0,1,1125
1940,2022-01-16,0,1,1125
1940,2022-01-17,0,1,1125
1940,2022-01-18,0,1,1125
1940,2022-01-19,0,1,1125
1940,2022-01-20,0,1,1125
1940,2022-01-21,0,1,1125
1940,2022-01-22,0,1,1125
1940,2022-01-23,0,1,1125
1940,2022-01-24,0,1,1125
1940,2022-01-25,0,1,1125
1940,2022-01-26,0,1,1125
1940,2022-01-27,0,1,1125
1940,2022-01-28,0,1,1125
1940,2022-01-29,0,1,1125
1940,2022-01-30,0,1,1125
1940,2022-03-19,0,1,1125
1940,2022-03-20,0,1,1125
1940,2022-03-21,0,1,1125
1940,2022-03-22,0,1,1125
1940,2022-03-23,0,1,1125
1940,2022-03-24,0,1,1125
81540,2022-01-01,0,3,130
81540,2022-01-02,0,3,130
81540,2022-01-04,0,3,130
81540,2022-01-05,0,3,130
81540,2022-01-06,0,3,130
81540,2022-01-07,0,3,130
81540,2022-01-08,0,3,130
81540,2022-01-09,0,3,130
81540,2022-01-10,0,3,130
81540,2022-01-11,0,3,130
81540,2022-01-12,0,3,130
81540,2022-01-13,0,3,130
81540,2022-01-14,0,3,130
81540,2022-01-15,0,3,130
81540,2022-01-16,0,3,130
81540,2022-01-17,0,3,130
81540,2022-01-18,0,3,130
81540,2022-01-19,0,3,130
81540,2022-01-20,0,3,130
81540,2022-01-21,0,3,130
81540,2022-01-22,0,3,130
81540,2022-01-23,0,3,130
81540,2022-01-24,0,3,130
81540,2022-01-25,0,3,130
81540,2022-01-26,0,3,130
